id,title,release_date,vote_average,vote_count,popularity,original_language,genre_ids,budget,revenue,runtime,production_companies,overview
923667,Twilight of the Warriors: Walled In,2024-04-23,7.6,17,24.466,cn,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",38400000,46366411,125,"['Entertaining Power', 'One Cool Film Production', 'Sil-Metropole Organisation', 'Lian Ray Pictures', 'HG Entertainment', 'Zhejiang Hengdian Film Production', 'Tao Piao Piao', 'Media Asia']","Set in the 1980s, troubled youth Chan Lok-kwun accidentally enters the Walled City, discovers the order amidst its chaos, and learns important life lessons along the way. In the Walled City, he becomes close friends with Shin, Twelfth Master and AV. Under the leadership of Cyclone, they resist against the invasion of villain Mr. Big in a series of fierce battles. Together, they vow to protect the safe haven that is Kowloon Walled City."
653,Nosferatu,1922-02-16,7.702,1898,28.516,de,"[{'id': 27, 'name': 'Horror'}]",0,19054,95,"['Prana-Film GmbH', 'Jofa-Atelier Berlin-Johannisthal']","In this highly influential silent horror film, the mysterious Count Orlok (Max Schreck) summons Thomas Hutter (Gustav von Wangenheim) to his remote Transylvanian castle in the mountains. The eerie Orlok seeks to buy a house near Hutter and his wife, Ellen (Greta Schroeder). After Orlok reveals his vampire nature, Hutter struggles to escape the castle, knowing that Ellen is in grave danger. Meanwhile Orlok's servant, Knock (Alexander Granach), prepares for his master to arrive at his new home."
9056,Police Story,1985-12-14,7.5,833,28.515,cn,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",500000,18700000,100,"['Golden Way Films Ltd.', 'Paragon Films Ltd.', 'Orange Sky Golden Harvest']","Officer Chan Ka Kui manages to put a major Hong Kong drug dealer behind the bars practically alone, after a shooting and an impressive chase inside a slum. Now, he must protect the boss' secretary, Selina, who will testify against the gangster in court."
80295,14 and Under,1973-08-16,5.7,36,41.594,de,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",0,0,87,"['Rapid Film', 'Constantin Film', 'Atlas Films', 'Fuji Eiga Company']","This episodic film is a close relative of Wolf Hartwig's schoolgirl report movies, made by the same people, in a similar style, around similar topics. However, this one specifically focuses on the coming-of-age aspects, to an extent that it also touches on delicate issues such as paedophilia."
11827,Heavy Metal,1981-08-07,6.474,665,31.264,en,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10402, 'name': 'Music'}]",9300000,20100000,90,"['Canadian Film Development Corporation', 'Columbia Pictures', 'Guardian Trust Company', 'Famous Players', 'Potterton Productions', 'TVC London', 'Halas and Batchelor Cartoon Films', 'Atkinson Film Arts', 'Boxcar Animation Studios']","The embodiment of ultimate evil, a glowing orb terrorizes a young girl with bizarre stories of dark fantasy, eroticism and horror."
149871,The Tale of The Princess Kaguya,2013-11-23,8.082,1685,33.414,ja,"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",49300000,24366656,137,"['Studio Ghibli', 'Hakuhodo DY Media Partners', 'KDDI', 'Mitsubishi Shoji', 'Nippon Television Network Corporation', 'TOHO', 'T2 Studio']","Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthrals all who encounter her. But, ultimately, she must confront her fate."
811592,One Shot,2021-11-05,6.756,833,32.531,en,"[{'id': 28, 'name': 'Action'}]",0,29439,97,"['Signature Films', 'Screen Media Films', 'Fiction Films', 'Lipsync Productions']","An elite squad of Navy SEALs, on a covert mission to transport a prisoner off a CIA black site island prison, are trapped when insurgents attack while trying to rescue the same prisoner."
7735,The Wave,2008-03-13,7.5,3225,33.402,de,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",7500000,19000000,107,"['Rat Pack Filmproduktion', 'Medienfonds GFP', 'B.A. Produktion', 'Constantin Film']",A school teacher discusses types of government with his class. His students find it too boring to repeatedly go over national socialism and believe that dictatorship cannot be established in modern Germany. He starts an experiment to show how easily the masses can become manipulated.
10327,"Legally Blonde 2: Red, White & Blonde",2003-07-02,5.647,1504,32.761,en,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",45000000,124914842,95,"['Metro-Goldwyn-Mayer', 'Marc Platt Productions', 'Type A Films']","Now a rising young lawyer, Elle Woods is about to make partner at her firm, but when she finds out her dog's relatives are being used as cosmetic test subjects, she heads to Washington D.C. to fight for animal rights."
770156,Lucy Shimmers and the Prince of Peace,2020-10-19,8.351,234,35.772,en,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",0,0,87,"['Rob Diamond Films', 'Future Movie Productions']",Second chances start when a hardened criminal crosses paths with a precocious little girl who is helped by an angel to change hearts during the holiday season.
9877,Urban Legend,1998-09-25,5.711,1243,33.393,en,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",14000000,72527595,100,"['TriStar Pictures', 'Original Film', 'Phoenix Pictures', 'Canal+ Droits Audiovisuels']",A college campus is plagued by a vicious serial killer murdering students in ways that correspond to various urban legends.
9331,Clear and Present Danger,1994-08-03,6.648,1434,32.258,en,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",62000000,215900000,141,"['Paramount', 'Mace Neufeld Productions', 'Robert Rehme Productions']","Agent Jack Ryan becomes acting Deputy Director of Intelligence for the CIA when Admiral Greer is diagnosed with cancer. When an American businessman, and friend of the president, is murdered on his yacht, Ryan starts discovering links between the man and drug dealers. As former CIA agent John Clark is sent to Colombia to kill drug cartel kingpins in retaliation, Ryan must fight through multiple cover-ups to figure out what happened and who's responsible."
